,media_source,date,geo,cost,currency
131,source_3,2007-12-06,CO,3.993024,USD
132,source_1,2007-12-01,GP,0.0,USD
133,source_2,2007-12-06,VC,0.2278240025,USD
134,source_1,2007-12-03,TL,0.0,USD
135,source_3,2007-12-07,BF,0.408515,USD
136,source_1,2007-12-05,DE,0.0,USD
137,source_3,2007-12-01,MZ,2.41341,USD
138,source_3,2007-12-03,KY,0.393088,USD
139,source_3,2007-12-01,AR,5.117326,USD
140,source_3,2007-12-02,IQ,0.0,USD
141,source_5,2007-12-06,RS,0.0,USD
142,source_2,2007-12-01,PK,0.2534260001,USD
143,source_2,2007-12-04,KN,0.2568620005,USD
144,source_3,2007-12-06,CX,0.010321,USD
145,source_8,2007-12-07,ES,0.0,USD
146,source_1,2007-12-06,AW,0.869999975,USD
147,source_3,2007-12-04,KN,0.258152,USD
148,source_6,2007-12-06,UK,0.0,USD
149,source_3,2007-12-05,MW,0.57244,USD
150,source_1,2007-12-04,PS,0.7000000104,USD
151,source_2,2007-12-01,AT,0.4946620007,USD
152,source_3,2007-12-07,BZ,0.32407,USD
153,source_3,2007-12-05,KI,0.041276,USD
154,source_8,2007-12-07,CA,0.0,USD
155,source_1,2007-12-04,LI,0.0,USD
156,source_3,2007-12-03,PT,11.648952,USD
157,source_4,2007-12-06,ES,0.0,USD
158,source_3,2007-12-04,HN,0.86902,USD
159,source_2,2007-12-03,GD,0.2457329996,USD
160,source_8,2007-12-04,PA,0.0,USD
161,source_2,2007-12-05,MH,0.0162190001,USD
162,source_3,2007-12-05,MT,1.497011,USD
163,source_1,2007-12-05,DJ,0.2599999905,USD
164,source_2,2007-12-02,CL,101.2302282629,USD
165,source_2,2007-12-06,BS,2.3078019966,USD
166,source_6,2007-12-01,DK,0.0,USD
167,source_3,2007-12-02,GW,0.020753,USD
168,source_2,2007-12-04,FR,5.7699410186,USD
169,source_2,2007-12-05,AU,1.3215090028,USD
170,source_3,2007-12-02,AU,73.21623,USD
171,source_2,2007-12-05,GF,0.2871620026,USD
