,Unnamed: 0,Date Time,Event Name,Region,Language,Platform,Device Type,OS Version,Is Retargeting
104,199,2007-12-1,trial_started,EU,,ios,,15.6.1,False
105,200,2007-12-4,trial_converted,EU,,ios,,15.5,False
106,201,2007-12-1,trial_started,,,ios,,15.6.1,False
107,203,2007-12-1,trial_started,AS,,ios,,15.5,False
108,207,2007-12-1,trial_started,EU,,ios,,15.6.1,False
109,209,2007-12-1,trial_started,,,ios,,15.5,False
110,210,2007-12-1,trial_started,EU,,ios,,15.5,False
111,212,2007-12-1,trial_started,AS,,ios,,15.6.1,False
112,214,2007-12-1,trial_started,EU,,ios,,15.5,False
113,215,2007-12-1,trial_started,EU,,ios,,15.5,False
114,217,2007-12-1,trial_started,EU,,ios,,14.2,False
115,220,2007-12-1,trial_started,EU,,ios,,15.6.1,False
116,222,2007-12-1,trial_started,,,ios,,15.6.1,False
117,223,2007-12-1,trial_started,,,ios,,15.6,False
118,226,2007-12-1,trial_started,EU,,ios,,15.6,False
119,229,2007-12-1,trial_started,,,ios,,15.6.1,False
120,230,2007-12-1,trial_started,EU,,ios,,15.5,False
121,231,2007-12-1,trial_started,EU,,ios,,15.6.1,False
122,232,2007-12-1,trial_started,,,ios,,15.6.1,False
123,234,2007-12-1,trial_started,,,ios,,15.5,False
124,236,2007-12-1,trial_started,,,ios,,15.6.1,False
125,238,2007-12-1,trial_started,AS,,ios,,15.6.1,False
126,243,2007-12-1,trial_started,EU,,ios,,15.6.1,False
127,245,2007-12-1,trial_started,,,ios,,15.6.1,False
128,247,2007-12-2,trial_started,,,ios,,15.0.2,False
129,250,2007-12-1,trial_started,,,ios,,15.3,False
130,251,2007-12-1,trial_started,EU,,ios,,15.6,False
131,254,2007-12-1,trial_started,AF,,ios,,14.7.1,False
132,255,2007-12-1,trial_started,,,ios,,15.5,False
133,257,2007-12-1,trial_started,EU,,ios,,15.6.1,False
134,260,2007-12-1,trial_started,SA,,ios,,15.6.1,False
135,261,2007-12-1,trial_started,,,ios,,15.6,False
136,264,2007-12-1,trial_started,AS,,ios,,15.1,False
137,266,2007-12-1,trial_started,,,ios,,15.6,False
138,268,2007-12-1,trial_started,,,ios,,15.6,False
139,269,2007-12-1,trial_started,,,ios,,15.6.1,False
140,271,2007-12-1,trial_started,SA,,ios,,15.4.1,False
141,274,2007-12-1,trial_started,AS,,ios,,15.6,False
142,276,2007-12-1,trial_started,,,ios,,15.6.1,False
